Table,SPNWR_ID,SpeciesCode,OriginalTagID,Neophyte,DateOfActivity,Result,DP Stake,InSituStake1,CurvedCarapaceLength_NtoN,CurvedCarapaceWidth
SPNWR,11319,Dc,AAQ965,,4/21/2000,In Situ,,186,146,115.9
SPNWR,11398,Dc,AAQ965,,4/29/2000,Dry Run,,0,,
SPNWR,11408,Dc,AAQ965,,4/30/2000,Dry Run,,165,,
SPNWR,11424,Dc,AAQ965,,5/1/2000,Dry Run,,0,,
SPNWR,11543,Dc,AAQ965,,5/10/2000,In Situ,,174,,
SPNWR,11628,Dc,AAQ965,,5/19/2000,Relocate,,153,145.9,116.1
SPNWR,27,Dc,AAQ965,,4/4/2002,In Situ,,174,159,117.3
SPNWR,265,Dc,AAQ965,,4/13/2002,In Situ,,175,159,117.3
SPNWR,325,Dc,AAQ965,,4/21/2002,Dry Run,,163,,
SPNWR,341,Dc,AAQ965,,4/23/2002,In Situ,,149,147.8,117
SPNWR,433,Dc,AAQ965,,5/1/2002,Relocate,,165,147.2,117.3
SPNWR,644,Dc,AAQ965,,5/18/2002,In Situ,,183,161.5,116.5
SPNWR,10055,Dc,AAQ966,,4/21/1998,In Situ,,196,,
SPNWR,10085,Dc,AAQ966,,4/30/1998,Dry Run,,171,,
SPNWR,10056,Dc,AAQ969,,4/21/1998,In Situ,,179,150,106.5
SPNWR,10092,Dc,AAQ969,,5/1/1998,Relocate,,142,148.7,106.9
SPNWR,10129,Dc,AAQ969,,5/13/1998,In Situ,,183,,
SPNWR,10154,Dc,AAQ969,,5/22/1998,In Situ,,186,151.5,107.1
SPNWR,9953,Dc,AAQ969,,5/31/1998,In Situ,,191,150,102.1
SPNWR,10204,Dc,AAQ969,,6/14/1998,In Situ,,183,151.4,107.4
SPNWR,10240,Dc,AAQ969,,6/23/1998,In Situ,,171,150,107
SPNWR,10024,Dc,AAQ971,,4/13/1998,Relocate,,162,155.2,111.6
SPNWR,10059,Dc,AAQ971,,4/22/1998,Dry Run,,165,,
SPNWR,10095,Dc,AAQ971,,5/2/1998,Relocate,,155,156.6,111.2
SPNWR,10229,Dc,AAQ971,,5/31/1998,In Situ,,169,155.5,112.7
SPNWR,10082,Dc,AAQ972,,4/29/1998,In Situ,,68,156.7,109.8
SPNWR,1197,Dc,AAQ972,,4/13/2003,In Situ,,121,158.7,112.2
SPNWR,1294,Dc,AAQ972,,4/22/2003,In Situ,,121,158.5,111.6
SPNWR,1471,Dc,AAQ972,,5/1/2003,In Situ,,122,,
SPNWR,1643,Dc,AAQ972,,5/10/2003,Dry Run,,122,,
SPNWR,1815,Dc,AAQ972,,5/19/2003,Dry Run,,144,,
SPNWR,3520,Dc,AAQ972,,4/27/2005,Dry Run,,113,,
SPNWR,3638,Dc,AAQ972,,5/7/2005,Dry Run,,145,,
SPNWR,3678,Dc,AAQ972,,5/10/2005,In Situ,,99,160.8,112
SPNWR,14586,Dc,AAQ972,,5/12/2007,Probable Lay,,179,,
SPNWR,14730,Dc,AAQ972,,5/21/2007,Dry Run,,145,160.7,113.6
SPNWR,14891,Dc,AAQ972,,5/31/2007,Dry Run,,170,,
SPNWR,15000,Dc,AAQ972,,6/11/2007,Dry Run,,182,,
SPNWR,16571,Dc,AAQ972,,4/27/2009,Probable Lay,,81,,
SPNWR,16702,Dc,AAQ972,,5/6/2009,In Situ,,182,160.8,112.8
SPNWR,16852,Dc,AAQ972,,5/16/2009,Dry Run,,158,,
SPNWR,17008,Dc,AAQ972,,5/25/2009,Dry Run,,182,,
SPNWR,17021,Dc,AAQ972,,5/26/2009,Dry Run,,157,162.5,115.1
SPNWR,31055,Dc,AAQ972,,4/14/2011,Dry Run,,70,,
SPNWR,10213,Dc,AAQ982,,6/17/1998,Dry Run,,172,,
SPNWR,10214,Dc,AAQ982,,6/17/1998,Dry Run,,0,,
SPNWR,10257,Dc,AAQ982,,7/3/1998,In Situ,,197,152.4,109.2
SPNWR,691,Dc,AAQ982,,5/20/2002,Dry Run,,172,,
SPNWR,697,Dc,AAQ982,,5/21/2002,In Situ,,171,155.3,112.4
SPNWR,819,Dc,AAQ982,,5/30/2002,In Situ,,185,156.5,113.5
SPNWR,895,Dc,AAQ982,,6/8/2002,In Situ,,170,155,112
SPNWR,961,Dc,AAQ982,,6/16/2002,Dry Run,,190,,
SPNWR,964,Dc,AAQ982,,6/17/2002,In Situ,,131,155.5,112.5
SPNWR,1028,Dc,AAQ982,,6/26/2002,In Situ,,187,155,111
SPNWR,1063,Dc,AAQ982,,7/6/2002,Dry Run,,147,,
SPNWR,1064,Dc,AAQ982,,7/7/2002,Relocate,,155,155.1,110.5
SPNWR,2560,Dc,AAQ982,,4/3/2004,In Situ,,155,156.3,112.3
SPNWR,2617,Dc,AAQ982,,4/13/2004,In Situ,,165,158.2,112.5
SPNWR,2694,Dc,AAQ982,,4/22/2004,In Situ,,165,155.6,111.3
SPNWR,2771,Dc,AAQ982,,5/1/2004,In Situ,,169,156.1,112.6
SPNWR,2881,Dc,AAQ982,,5/10/2004,In Situ,,184,156.5,113
SPNWR,2950,Dc,AAQ982,,5/19/2004,Probable Lay,,142,155.4,113
SPNWR,3037,Dc,AAQ982,,5/29/2004,Dry Run,,154,,
SPNWR,2794,Dc,AAQ982,,5/30/2004,Dry Run,,174,,
SPNWR,3048,Dc,AAQ982,,5/31/2004,Relocate,,153,156.1,111.7
SPNWR,3137,Dc,AAQ982,,6/13/2004,Relocate,,147,155.6,110.9
SPNWR,15302,Dc,AAQ982,,4/4/2008,In Situ,,143,158,114
SPNWR,15377,Dc,AAQ982,,4/17/2008,In Situ,,178,157.6,114
SPNWR,15459,Dc,AAQ982,,4/27/2008,In Situ,,179,157.6,114
SPNWR,15672,Dc,AAQ982,,5/25/2008,In Situ,,153,156.8,104.6
SPNWR,15807,Dc,AAQ982,,6/2/2008,Dry Run,,181,,
SPNWR,15813,Dc,AAQ982,,6/3/2008,In Situ,,188,158.4,114.2
SPNWR,15873,Dc,AAQ982,,6/14/2008,Relocate,,167,157.8,113.7
SPNWR,31154,Dc,AAQ982,,4/24/2011,Lay,,160,152.5,114
SPNWR,31439,Dc,AAQ982,,5/28/2011,Lay,,185,158.3,116
SPNWR,10303,Dc,AAQ985,,4/15/1999,In Situ,,192,143.5,106.2
SPNWR,10399,Dc,AAQ985,,4/24/1999,Dry Run,,,,
SPNWR,10406,Dc,AAQ985,,4/24/1999,In Situ,,170,,
SPNWR,10412,Dc,AAQ985,,4/26/1999,In Situ,,174,143.5,107.4
SPNWR,10326,Dc,AAQ985,,5/5/1999,In Situ,,185,143,107.5
SPNWR,10337,Dc,AAQ985,,5/13/1999,Track Only,,165,,
SPNWR,10615,Dc,AAQ985,,5/13/1999,Relocate,,159,143.5,106.8
SPNWR,10740,Dc,AAQ985,,5/22/1999,Dry Run,,162,,
SPNWR,10747,Dc,AAQ985,,5/22/1999,Dry Run,,,,
SPNWR,10751,Dc,AAQ985,,5/23/1999,Relocate,,149,143.5,106.3
SPNWR,10802,Dc,AAQ985,,6/2/1999,Dry Run,,189,,
SPNWR,10818,Dc,AAQ985,,6/3/1999,Relocate,,139,143.5,108.9
SPNWR,11903,Dc,AAQ985,,4/2/2001,Dry Run,,0,,
SPNWR,11906,Dc,AAQ985,,4/3/2001,In Situ,,155,145.2,109.8
SPNWR,11986,Dc,AAQ985,,4/12/2001,In Situ,,182,144.8,108.2
SPNWR,12075,Dc,AAQ985,,4/21/2001,Dry Run,,,,
SPNWR,12085,Dc,AAQ985,,4/22/2001,Relocate,,159,145,107.1
SPNWR,12205,Dc,AAQ985,,5/1/2001,In Situ,,181,146,110.3
SPNWR,12363,Dc,AAQ985,,5/10/2001,In Situ,,190,144.6,107.5
SPNWR,12255,Dc,AAQ985,,5/19/2001,Dry Run,,147,,
SPNWR,12575,Dc,AAQ985,,5/20/2001,In Situ,,204,144.7,106.4
SPNWR,12774,Dc,AAQ985,,5/28/2001,In Situ,,172,144.2,108
SPNWR,1100,Dc,AAQ985,,4/4/2003,Dry Run,,159,,
SPNWR,1111,Dc,AAQ985,,4/5/2003,In Situ,,160,145.5,110.1
SPNWR,1217,Dc,AAQ985,,4/15/2003,In Situ,,189,148,112.25
SPNWR,1015,Dc,AAQ985,,4/25/2003,In Situ,,179,145.6,109
SPNWR,1507,Dc,AAQ985,,5/4/2003,In Situ,,173,146,111
SPNWR,1686,Dc,AAQ985,,5/12/2003,In Situ,,197,146.2,109.3
SPNWR,1831,Dc,AAQ985,,5/20/2003,Dry Run,,148,,
SPNWR,1875,Dc,AAQ985,,5/21/2003,Relocate,,159,145.6,108.8
SPNWR,2028,Dc,AAQ985,,5/29/2003,Dry Run,,110,,
SPNWR,2041,Dc,AAQ985,,5/30/2003,In Situ,,196,145.5,108.6
SPNWR,2220,Dc,AAQ985,,6/9/2003,In Situ,,150,140.4,110.3
SPNWR,3290,Dc,AAQ985,,4/1/2005,In Situ,,172,146.8,111
SPNWR,3354,Dc,AAQ985,,4/9/2005,In Situ,,172,147.4,110.5
SPNWR,3463,Dc,AAQ985,,4/21/2005,In Situ,,116,145.9,109.7
SPNWR,3556,Dc,AAQ985,,4/30/2005,Dry Run,,145,,
SPNWR,3569,Dc,AAQ985,,5/1/2005,In Situ,,72,145.8,109.3
SPNWR,3673,Dc,AAQ985,,5/10/2005,Dry Run,,170,,
SPNWR,3688,Dc,AAQ985,,5/11/2005,In Situ,,178,147,109.8
SPNWR,10351,Dc,AAQ986,,4/19/1999,In Situ,,196,145.3,99.2
SPNWR,10539,Dc,AAQ986,,5/7/1999,Relocate,,165,143.7,98.8
SPNWR,10653,Dc,AAQ986,,5/17/1999,In Situ,,187,145.3,98.7
SPNWR,255,Dc,AAQ986,,4/2/2002,Relocate,,154,151,104.9
SPNWR,173,Dc,AAQ986,,4/12/2002,Probable Lay,,77,149.9,103.9
SPNWR,15395,Dc,AAQ986,,4/19/2008,In Situ,,97,151.2,104
SPNWR,15797,Dc,AAQ986,,5/30/2008,Dry Run,,128,,
SPNWR,10276,Dc,AAQ987,,4/8/1999,Relocate,,168,165.5,117.9
SPNWR,10346,Dc,AAQ987,,4/17/1999,Dry Run,,163,,
SPNWR,10350,Dc,AAQ987,,4/18/1999,In Situ,,177,164.5,117
SPNWR,10426,Dc,AAQ987,,4/28/1999,In Situ,,174,164.4,116.3
SPNWR,10538,Dc,AAQ987,,5/7/1999,In Situ,,174,165,116
SPNWR,10637,Dc,AAQ987,,5/16/1999,Dry Run,,164,,
SPNWR,10652,Dc,AAQ987,,5/17/1999,In Situ,,182,163.6,116
SPNWR,10834,Dc,AAQ987,,5/26/1999,In Situ,,173,164.5,117.2
SPNWR,10823,Dc,AAQ987,,6/4/1999,Dry Run,,182,,
SPNWR,10711,Dc,AAQ987,,6/5/1999,Relocate,,162,164.9,116.4
SPNWR,10964,Dc,AAQ987,,6/14/1999,In Situ,,187,166,122
SPNWR,17694,Dc,AAQ987,,4/9/2010,In Situ,,166,166.9,117.3
SPNWR,17767,Dc,AAQ987,,4/23/2010,Relocate,,163,167.4,117.1
SPNWR,73,Dc,AAQ987,,4/10/2014,Lay,,189,167,117.5
SPNWR,18261,Dc,AAQ987,,4/22/2014,Lay,175.5,175,168.1,118.7
SPNWR,10297,Dc,AAQ988,,4/14/1999,In Situ,,159,145.1,101.5
SPNWR,10363,Dc,AAQ988,,4/20/1999,Dry Run,,152,,
SPNWR,10388,Dc,AAQ988,,4/22/1999,In Situ,,173,144.2,101.5
SPNWR,10444,Dc,AAQ988,,4/29/1999,In Situ,,190,,
SPNWR,10556,Dc,AAQ988,,5/8/1999,Relocate,,162,143.9,101.5
SPNWR,10655,Dc,AAQ988,,5/17/1999,In Situ,,178,145.9,101.3
SPNWR,3662,Dc,AAQ988,,5/9/2005,In Situ,,177,,
SPNWR,3787,Dc,AAQ988,,5/18/2005,In Situ,,170,147,104.4
SPNWR,3871,Dc,AAQ988,,5/29/2005,Dry Run,,148,,
SPNWR,3881,Dc,AAQ988,,5/29/2005,Dry Run,,144,,
SPNWR,3887,Dc,AAQ988,,5/30/2005,In Situ,,168,144.9,103.9
SPNWR,3979,Dc,AAQ988,,6/7/2005,Dry Run,,166,,
SPNWR,4052,Dc,AAQ988,,6/17/2005,Dry Run,,150,,
SPNWR,4073,Dc,AAQ988,,6/19/2005,Dry Run,,175,,
SPNWR,4099,Dc,AAQ988,,6/21/2005,Relocate,,142,147.5,104.5
SPNWR,4161,Dc,AAQ988,,7/4/2005,In Situ,,186,147,103.5
SPNWR,10304,Dc,AAQ989,,4/15/1999,In Situ,,183,145.3,104.6
SPNWR,10551,Dc,AAQ989,,5/8/1999,Dry Run,,194,,
SPNWR,10657,Dc,AAQ989,,5/18/1999,Relocate,,154,145.5,104.5
SPNWR,10703,Dc,AAQ989,,5/27/1999,Dry Run,,165,,
SPNWR,10853,Dc,AAQ989,,5/30/1999,Relocate,,166,145.5,106
SPNWR,10925,Dc,AAQ989,,6/9/1999,In Situ,,174,146,105.2
SPNWR,10991,Dc,AAQ989,,6/18/1999,In Situ,,178,146.5,105.5
SPNWR,11054,Dc,AAQ989,,6/29/1999,In Situ,,173,146.3,104.8
SPNWR,12068,Dc,AAQ989,,4/20/2001,In Situ,,182,147.6,106.7
SPNWR,12214,Dc,AAQ989,,5/1/2001,In Situ,,183,,
SPNWR,13003,Dc,AAQ989,,5/11/2001,In Situ,,167,148,111
SPNWR,12409,Dc,AAQ989,,5/12/2001,In Situ,,169,147.4,114.5
SPNWR,12662,Dc,AAQ989,,5/22/2001,Dry Run,,,,
SPNWR,12652,Dc,AAQ989,,5/23/2001,In Situ,,160,149,122
SPNWR,12826,Dc,AAQ989,,6/1/2001,Relocate,,143,,
SPNWR,13061,Dc,AAQ989,,7/13/2001,Dry Run,,174,148,111
SPNWR,1110,Dc,AAQ989,,4/5/2003,Relocate,,158,149.3,108
SPNWR,1418,Dc,AAQ989,,4/28/2003,Relocate,,163,,
SPNWR,1385,Dc,AAQ989,,5/9/2003,In Situ,,143,,
SPNWR,1825,Dc,AAQ989,,5/20/2003,In Situ,,150,149,108
SPNWR,2038,Dc,AAQ989,,5/30/2003,Relocate,,157,151,108.5
SPNWR,2397,Dc,AAQ989,,6/23/2003,Relocate,,149,149.5,107
SPNWR,2468,Dc,AAQ989,,7/2/2003,In Situ,,169,147.5,113.2
SPNWR,3472,Dc,AAQ989,,4/22/2005,In Situ,,167,148.5,107.9
SPNWR,3261,Dc,AAQ989,,5/5/2005,Relocate,,164,147,107.5
SPNWR,3756,Dc,AAQ989,,5/15/2005,Dry Run,,175,,
SPNWR,3765,Dc,AAQ989,,5/16/2005,Dry Run,,148,,
SPNWR,3821,Dc,AAQ989,,5/25/2005,In Situ,,174,150.5,106
SPNWR,3931,Dc,AAQ989,,6/4/2005,Dry Run,,142,,
SPNWR,3993,Dc,AAQ989,,6/9/2005,Relocate,,157,150,108.5
SPNWR,4072,Dc,AAQ989,,6/19/2005,In Situ,,168,155.1,107.2
SPNWR,4141,Dc,AAQ989,,6/29/2005,Dry Run,,178,,
SPNWR,4144,Dc,AAQ989,,6/30/2005,Dry Run,,142,,
SPNWR,4153,Dc,AAQ989,,7/3/2005,Probable Lay,,177,,
SPNWR,15353,Dc,AAQ989,,4/15/2008,In Situ,,168,149.7,107.6
SPNWR,15457,Dc,AAQ989,,4/27/2008,In Situ,,199,150.4,107.5
SPNWR,15843,Dc,AAQ989,,6/10/2008,In Situ,,150,150,107
SPNWR,15889,Dc,AAQ989,,6/19/2008,In Situ,,168,150.5,108.2
SPNWR,32256,Dc,AAQ989,,3/22/2012,Lay,,179,151.4,108.9
SPNWR,10353,Dc,AAQ990,,4/19/1999,In Situ,,182,152.5,110.5
SPNWR,10432,Dc,AAQ990,,4/29/1999,Relocate,,142,,
SPNWR,10298,Dc,AAQ991,,4/14/1999,In Situ,,179,159.8,114.6
SPNWR,10550,Dc,AAQ991,,5/8/1999,Relocate,,165,,
SPNWR,10658,Dc,AAQ991,,5/18/1999,In Situ,,175,160,113.5
SPNWR,10343,Dc,AAQ993,,4/17/1999,In Situ,,188,155.9,106.5
SPNWR,10422,Dc,AAQ993,,4/28/1999,In Situ,,194,156.5,107.5
SPNWR,10559,Dc,AAQ993,,5/8/1999,In Situ,,191,156,106
SPNWR,10659,Dc,AAQ993,,5/18/1999,In Situ,,175,158,107.1
SPNWR,10856,Dc,AAQ993,,5/28/1999,Relocate,,146,157.3,105.6
SPNWR,10900,Dc,AAQ993,,6/7/1999,In Situ,,,157.4,105.7
SPNWR,11009,Dc,AAQ993,,6/22/1999,Relocate,,169,157.6,107
SPNWR,11079,Dc,AAQ993,,7/5/1999,Relocate,,164,157.4,105.5
SPNWR,1293,Dc,AAQ993,,4/22/2003,In Situ,,171,158.9,108.2
SPNWR,1492,Dc,AAQ993,,5/2/2003,Dry Run,,83,,
SPNWR,1783,Dc,AAQ993,,5/17/2003,Dry Run,,170,,
SPNWR,1852,Dc,AAQ993,,5/29/2003,In Situ,,199,158.5,108.5
SPNWR,2389,Dc,AAQ993,,6/23/2003,In Situ,,177,153.7,107.9
SPNWR,2467,Dc,AAQ993,,7/2/2003,Probable Lay,,191,,
SPNWR,2497,Dc,AAQ993,,7/12/2003,In Situ,,187,157,108.5
SPNWR,14210,Dc,AAQ993,,4/9/2007,Relocate,,184,160.2,109
SPNWR,14320,Dc,AAQ993,,4/20/2007,In Situ,,180,159.5,109.7
SPNWR,14457,Dc,AAQ993,,5/2/2007,In Situ,,184,159.8,110.4
SPNWR,14615,Dc,AAQ993,,5/14/2007,Probable Lay,,186,160.5,109.5
SPNWR,14763,Dc,AAQ993,,5/23/2007,In Situ,,186,156.4,108.7
SPNWR,15081,Dc,AAQ993,,6/21/2007,In Situ,,190,,
SPNWR,16299,Dc,AAQ993,,4/2/2009,Relocate,,176,160.9,113
SPNWR,16441,Dc,AAQ993,,4/17/2009,Probable Lay,,177,,
SPNWR,16617,Dc,AAQ993,,4/29/2009,In Situ,,184,162,112.7
SPNWR,16774,Dc,AAQ993,,5/10/2009,Relocate,,164,162.1,111.9
SPNWR,16930,Dc,AAQ993,,5/20/2009,In Situ,,165,160,115.9
SPNWR,17214,Dc,AAQ993,,6/9/2009,In Situ,,179,161.2,111.5
SPNWR,17311,Dc,AAQ993,,6/19/2009,Dry Run,,173,,
SPNWR,17335,Dc,AAQ993,,6/21/2009,In Situ,,183,161.9,113.2
SPNWR,17383,Dc,AAQ993,,7/2/2009,In Situ,,187,161.2,111.5
SPNWR,31074,Dc,AAQ993,,4/18/2011,Lay,,179,164.1,116
SPNWR,31245,Dc,AAQ993,,5/3/2011,Lay,,171,157.5,115
SPNWR,31448,Dc,AAQ993,,5/28/2011,Lay,,175,165.1,116.1
SPNWR,31261,Dc,AAQ993,,6/9/2011,Lay,,187,165.2,115.8
SPNWR,31643,Dc,AAQ993,,6/19/2011,Lay,,186,165.5,114.4
SPNWR,31679,Dc,AAQ993,,6/29/2011,Lay,,178,165.2,114.3
SPNWR,31538,Dc,AAQ993,,8/13/2011,Lay,,179,165.8,114.5
SPNWR,10149,Dc,AAQ998,,5/18/1998,Relocate,,158,154.2,104.5
SPNWR,11975,Dc,AAR229,,4/12/2001,Relocate,,173,143.8,106
SPNWR,12098,Dc,AAR229,,4/22/2001,Relocate,,173,144.3,104.2
SPNWR,12391,Dc,AAR229,,5/12/2001,In Situ,,191,145.7,104
SPNWR,12577,Dc,AAR229,,5/21/2001,Relocate,,172,144,113.7
SPNWR,12629,Dc,AAR229,,5/30/2001,Relocate,,186,144.3,104.2
SPNWR,1116,Dc,AAR229,,4/6/2003,In Situ,,160,146.2,106.3
SPNWR,1218,Dc,AAR229,,4/15/2003,Probable Lay,,161,145,105.4
SPNWR,1310,Dc,AAR229,,4/24/2003,In Situ,,198,146.3,105.1
SPNWR,1483,Dc,AAR229,,5/2/2003,In Situ,,194,145.5,108.5
SPNWR,1680,Dc,AAR229,,5/12/2003,In Situ,,126,145.5,105.5
SPNWR,1738,Dc,AAR229,,5/15/2003,Dry Run,,84,,
SPNWR,1841,Dc,AAR229,,5/20/2003,In Situ,,182,146.2,106.4
SPNWR,2035,Dc,AAR229,,5/30/2003,Dry Run,,167,,
SPNWR,2048,Dc,AAR229,,5/30/2003,In Situ,,195,147.5,106.2
SPNWR,2222,Dc,AAR229,,6/9/2003,Dry Run,,104,,
SPNWR,2272,Dc,AAR229,,6/10/2003,Dry Run,,156,,
SPNWR,2277,Dc,AAR229,,6/11/2003,Relocate,,148,145.5,104.2
SPNWR,3356,Dc,AAR229,,4/9/2005,Dry Run,,173,,
SPNWR,3366,Dc,AAR229,,4/11/2005,Relocate,,161,145.9,108.3
SPNWR,3455,Dc,AAR229,,4/20/2005,In Situ,,166,145.9,105.4
SPNWR,3560,Dc,AAR229,,4/30/2005,Dry Run,,168,,
SPNWR,3567,Dc,AAR229,,5/1/2005,In Situ,,174,146,104.5
SPNWR,3667,Dc,AAR229,,5/9/2005,In Situ,,171,145,104
SPNWR,3795,Dc,AAR229,,5/19/2005,Relocate,,151,146,106.5
SPNWR,3870,Dc,AAR229,,5/29/2005,Relocate,,157,146,106.3
SPNWR,14141,Dc,AAR229,,4/6/2007,In Situ,,178,148.2,108
SPNWR,14268,Dc,AAR229,,4/16/2007,In Situ,,173,148,107.25
SPNWR,14377,Dc,AAR229,,4/26/2007,In Situ,,168,147.3,105.8
SPNWR,14485,Dc,AAR229,,5/5/2007,In Situ,,184,,
SPNWR,14614,Dc,AAR229,,5/14/2007,In Situ,,188,147.5,107.5
SPNWR,14781,Dc,AAR229,,5/24/2007,In Situ,,188,148.3,112.5
SPNWR,14921,Dc,AAR229,,6/2/2007,Relocate,,152,148.2,112.3
SPNWR,16320,Dc,AAR229,,4/7/2009,In Situ,,162,149.5,110.2
SPNWR,16426,Dc,AAR229,,4/16/2009,In Situ,,160,150.8,109.5
SPNWR,16541,Dc,AAR229,,4/25/2009,Dry Run,,143,,
SPNWR,16553,Dc,AAR229,,4/26/2009,In Situ,,177,150.8,111
SPNWR,16687,Dc,AAR229,,5/5/2009,In Situ,,179,150.3,109
SPNWR,16834,Dc,AAR229,,5/15/2009,In Situ,,172,,
SPNWR,16980,Dc,AAR229,,5/24/2009,Track Only,,,,
SPNWR,16991,Dc,AAR229,,5/24/2009,Dry Run,,173,,
SPNWR,16997,Dc,AAR229,,5/25/2009,Relocate,,,,
SPNWR,11905,Dc,AAR232,,4/3/2001,Relocate,,151,143.5,113
SPNWR,12121,Dc,AAR232,,4/25/2001,Relocate,,159,142.5,112.5
SPNWR,12280,Dc,AAR232,,5/4/2001,In Situ,,182,143.2,112.1
SPNWR,12426,Dc,AAR232,,5/13/2001,In Situ,,189,144,112.2
SPNWR,12592,Dc,AAR232,,5/22/2001,Dry Run,,181,,
SPNWR,12599,Dc,AAR232,,5/22/2001,Relocate,,162,142.9,112.1
SPNWR,12663,Dc,AAR232,,5/22/2001,Dry Run,,148,,
SPNWR,12805,Dc,AAR232,,5/31/2001,In Situ,,174,142.8,112.9
SPNWR,12880,Dc,AAR232,,6/9/2001,Relocate,,151,142.8,113
SPNWR,14175,Dc,AAR232,,4/7/2007,Relocate,,165,145.3,114.2
SPNWR,11999,Dc,AAR234,,4/14/2001,In Situ,,201,153.5,108
SPNWR,12148,Dc,AAR234,,4/24/2001,Relocate,,156,153.8,109.7
SPNWR,12268,Dc,AAR234,,5/3/2001,In Situ,,185,154.1,109.9
SPNWR,12385,Dc,AAR234,,5/11/2001,Dry Run,,156,,
SPNWR,12407,Dc,AAR234,,5/12/2001,Relocate,,160,153.7,109
SPNWR,12574,Dc,AAR234,,5/20/2001,Relocate,,164,153.5,110.8
SPNWR,12800,Dc,AAR234,,5/30/2001,In Situ,,186,153.4,109
SPNWR,14218,Dc,AAR234,,4/9/2007,Probable Lay,,167,,
SPNWR,14293,Dc,AAR234,,4/18/2007,Dry Run,,170,,
SPNWR,14414,Dc,AAR234,,4/30/2007,Relocate,,181,154.8,119
SPNWR,14538,Dc,AAR234,,5/9/2007,Dry Run,,181,,
SPNWR,14559,Dc,AAR234,,5/10/2007,Relocate,,166,154.6,110.7
SPNWR,14720,Dc,AAR234,,5/20/2007,Relocate,,160,155.8,110.4
SPNWR,14880,Dc,AAR234,,5/30/2007,Dry Run,,182,,
SPNWR,14895,Dc,AAR234,,5/31/2007,In Situ,,173,156.4,110.4
SPNWR,14990,Dc,AAR234,,6/10/2007,Relocate,,177,150.5,120
SPNWR,12178,Dc,AAR236,,4/28/2001,In Situ,,150,,
SPNWR,12237,Dc,AAR236,,5/9/2001,Relocate,,150,,
SPNWR,12516,Dc,AAR236,,5/18/2001,In Situ,,185,150.9,110
SPNWR,12716,Dc,AAR236,,5/26/2001,Dry Run,,,,
SPNWR,12753,Dc,AAR236,,5/26/2001,Dry Run,,86,,
SPNWR,12624,Dc,AAR236,,5/28/2001,In Situ,,173,159.9,108.8
SPNWR,15365,Dc,AAR236,,4/16/2008,Relocate,,151,158.4,111
SPNWR,15453,Dc,AAR236,,4/27/2008,In Situ,,172,,
SPNWR,15644,Dc,AAR236,,5/21/2008,In Situ,,180,159.9,109.9
SPNWR,19559,Dc,AAR236,,3/20/2013,Lay,158.9,158,160.6,112.4
SPNWR,19515,Dc,AAR236,,3/31/2013,Lay,,163,162.7,112.5
SPNWR,21068,Dc,AAR236,,4/11/2013,Lay,167.5,166,161,112
SPNWR,21177,Dc,AAR236,,4/27/2013,Dry Run,186.8,186,,
SPNWR,21239,Dc,AAR236,,5/13/2013,Lay,,186,162.1,111.6
SPNWR,21265,Dc,AAR236,,5/24/2013,Lay,,175,161.4,112.5
SPNWR,19614,Dc,AAR236,,6/3/2013,Lay,,191,161.3,111.4
SPNWR,21706,Dc,AAR236,,6/18/2013,Lay,157.8,157,161.1,111.9
SPNWR,11897,Dc,AAR240,,4/2/2001,In Situ,,117,152.8,111.8
SPNWR,11971,Dc,AAR240,,4/11/2001,Relocate,,164,,
SPNWR,11863,Dc,AAR240,,4/20/2001,Dry Run,,157,,
SPNWR,12082,Dc,AAR240,,4/21/2001,In Situ,,96,153.5,111.4
SPNWR,12189,Dc,AAR240,,4/30/2001,In Situ,,88,153.5,111.4
SPNWR,12365,Dc,AAR240,,5/10/2001,Relocate,,86,153.5,111.8
SPNWR,13120,Dc,AAR240,,5/19/2001,Dry Run,,151,,
SPNWR,12572,Dc,AAR240,,5/20/2001,In Situ,,110,154,114
SPNWR,12782,Dc,AAR240,,5/29/2001,In Situ,,170,153,111.5
SPNWR,1151,Dc,AAR240,,4/9/2003,Relocate,,151,153.5,111.9
SPNWR,1275,Dc,AAR240,,4/21/2003,Probable Lay,,76,,
SPNWR,1469,Dc,AAR240,,5/1/2003,In Situ,,131,153.6,111.9
SPNWR,1662,Dc,AAR240,,5/11/2003,In Situ,,97,154.5,114
SPNWR,2065,Dc,AAR240,,5/31/2003,Relocate,,133,153,112
SPNWR,11985,Dc,AAR241,,4/12/2001,In Situ,,166,152,112.2
SPNWR,11862,Dc,AAR241,,4/20/2001,In Situ,,194,151.3,112.8
SPNWR,12154,Dc,AAR241,,4/28/2001,Relocate,,159,,
SPNWR,12485,Dc,AAR241,,5/16/2001,In Situ,,199,152.3,112.3
SPNWR,12683,Dc,AAR241,,5/24/2001,In Situ,,196,152,112
SPNWR,11974,Dc,AAR242,,4/11/2001,Dry Run,,121,,
SPNWR,11979,Dc,AAR242,,4/12/2001,In Situ,,174,,
SPNWR,12073,Dc,AAR242,,4/20/2001,In Situ,,166,,
SPNWR,12079,Dc,AAR242,,4/21/2001,In Situ,,168,151.1,103.7
SPNWR,12203,Dc,AAR242,,5/1/2001,Dry Run,,123,,
SPNWR,12219,Dc,AAR242,,5/2/2001,Relocate,,160,151.3,105.7
